390,Bayern,München,Arcisstraße 21,80333
391,Bayern,München,Geschwister-Scholl-Platz 1,80539
392,Bayern,Neubiberg,Werner-Heisenberg-Weg 39,85577
393,Nordrhein-Westfalen,Münster,Hüfferstr. 27,48149
394,Nordrhein-Westfalen,Münster,Leonardo-Campus 2,48149
395,Nordrhein-Westfalen,Münster,Kapuzinerstr. 27,48149
396,Nordrhein-Westfalen,Münster,Schlossplatz 2,48149
397,Mecklenburg-Vorpommern,Neubrandenburg,Brodaer Straße 2,17033
398,Bayern,Neuendettelsau,Waldstraße 11,91564
399,Brandenburg,Neuruppin,Fehrbelliner Str. 38,16816
400,Bayern,Neu-Ulm,Wileystraße 1,89231
401,Nordrhein-Westfalen,Krefeld,Reinarzstraße 49,47805
402,Niedersachsen,Hildesheim,Godehardspl. 6,31134
403,Niedersachsen,Hannover,Wielandstraße 8,30169
404,Niedersachsen,Nienburg,Bürgermeister-Stahn-Wall 9,31582
405,Niedersachsen,Bad Eilsen,Bahnhofstraße 5,31707
406,Thüringen,Nordhausen,Weinberghof 4,99734
407,Hessen,Bad Sooden-Allendorf,Am Hegeberg 2,37242
408,Nordrhein-Westfalen,Münster,Zum Roten Berge 18,48165
409,Nordrhein-Westfalen,Bad Münstereifel,Schleidtalstraße 3,53902
410,Nordrhein-Westfalen,Nordkirchen,Schloßstraße,59394
411,Nordrhein-Westfalen,Gelsenkirchen,Haidekamp 73,45886
412,Nordrhein-Westfalen,Köln,Wörthstraße 10,50668
413,Nordrhein-Westfalen,Hamm,Platz der Deutschen Einheit 1,59065
414,Bayern,Nürnberg,Bingstraße 60,90480
415,Bayern,Nürnberg,Bärenschanzstraße 4,90429
416,Bayern,Nürnberg,Veilhofstraße 34,90489
417,Bayern,Nürnberg,Keßlerplatz 12,90489
418,Bayern,Nürnberg,Ulmenstraße 52i,90443
419,Baden-Württemberg,Nürtingen,Neckarsteige 6-10,72622
420,Hessen,Oberursel,Altkönigstraße 150,61440
421,Hessen,Offenbach,Schloßstraße 31,63065
422,Baden-Württemberg,Offenburg,Badstraße 24,77652
423,Niedersachsen,Oldenburg,Ammerländer Heerstraße 114-118,26129
424,Niedersachsen,Osnabrück,Albrechtstraße 30,49076
425,Niedersachsen,Osnabrück,Neuer Graben/Schloss,49074
426,Niedersachsen,Wolfenbüttel,Salzdahlumer Straße 46/48,38302
427,Nordrhein-Westfalen,Lemgo,Campusallee 12,32657
428,Niedersachsen,Ottersberg,Große Straße 107,28870
429,Nordrhein-Westfalen,Paderborn,Fürstenallee 5,33102
430,Nordrhein-Westfalen,Paderborn,Kamp 6,33098
431,Nordrhein-Westfalen,Paderborn,Warburger Straße 100,33098
432,Bayern,Passau,Innstraße 41,94032
433,Baden-Württemberg,Pforzheim,Tiefenbronner Straße 65,75175
434,Brandenburg,Potsdam,Marlene-Dietrich-Allee 11,14482
435,Brandenburg,Potsdam,Hermannswerder 7,14473
436,Brandenburg,Potsdam,Kiepenheuerallee 5,14469
437,Brandenburg,Potsdam,Olympischer Weg 7,14471
438,Brandenburg,Potsdam,Konrad-Zuse-Ring 11,14469
439,Brandenburg,Potsdam,Jägerallee 26,14469
440,Brandenburg,Potsdam,Tuchmacherstraße 48b,14482
441,Brandenburg,Potsdam,Am Neuen Palais 10,14469
442,Brandenburg,Potsdam,Konrad-Zuse-Ring 11a,14469
443,Brandenburg,Potsdam,August-Bebel-Straße 26-53,14482
444,Baden-Württemberg,Weingarten,Doggenriedstraße 70,88250
445,Bayern,Regensburg,Andreasstraße 9,93059
446,Bayern,Regensburg,Seybothstraße 2,93053
447,Bayern,Regensburg,Universitätsstraße 31,93053
448,Baden-Württemberg,Reutlingen,Alteburgstraße 150,72762
449,Baden-Württemberg,Reutlingen,Friedrich-Ebert-Straße 31,72762
450,Rheinland-Pfalz,Edenkoben,Luitpoldstraße 33,67480
451,Rheinland-Pfalz,Büchenbeuren,Hunsrück Drive,55491
452,Rheinland-Pfalz,Mayen,St.-Veit-Straße 26-28,56727
453,Hessen,Wiesbaden,Kurt-Schumacher-Ring 18,65197
454,Nordrhein-Westfalen,Kleve,Marie-Curie-Str. 1,47533
455,Baden-Württemberg,Riedlingen,Kirchstraße 26,88499
456,Bayern,Rosenheim,Hochschulstraße 1,83024
457,Mecklenburg-Vorpommern,Rostock,Beim St.-Katharinenstift 8,18055
458,Mecklenburg-Vorpommern,Rostock,Universitätsplatz 1,18055
459,Baden-Württemberg,Rottenburg,Schadenweilerhof,72108
460,Baden-Württemberg,Rottenburg,St.-Meinrad-Weg 6,72108
461,Nordrhein-Westfalen,Mülheim,Duisburger Straße 100,45479
462,Saarland,Saarbrücken,Hermann-Neuberger-Straße 3,66123
463,Saarland,Saarbrücken,Bismarckstraße 1,66111
464,Saarland,Saarbrücken,Goebenstraße 40,66117
465,Saarland,Saarbrücken,Campus,66123
466,Saarland,Saarbrücken,Keplerstraße 3-5,66117
467,Saarland,Quierschied,Am Campus 7,66287
468,Sachsen-Anhalt,Aschersleben,Schmidtmannstraße 86,6449
469,Sachsen,Rothenburg,Friedensstraße 120,2929
470,Sachsen,Meißen,Herbert-Böhme-Straße 11,1662
471,Schleswig-Holstein,Kiel,Hans-Detlev-Prien-Straße 10,24106
472,Schleswig-Holstein,Altenholz,Rehmkamp 10,24161
473,Thüringen,Schmalkalden,Blechhammer 9,98574
474,Baden-Württemberg,Schwäbisch Gmünd,Rektor-Klaus-Str. 100,73525
475,Baden-Württemberg,Schwäbisch Gmünd,Oberbettringer Str. 200,73525
476,Nordrhein-Westfalen,Siegen,Adolf-Reichwein-Straße 2,57076
477,Rheinland-Pfalz,Speyer,Freiherr-vom-Stein-Straße 2,67346
478,Mecklenburg-Vorpommern,Stralsund,Zur Schwedenschanze 15,18435
479,Baden-Württemberg,Stuttgart,Heilbronner Str. 86,70191
480,Baden-Württemberg,Stuttgart,Am Weißenhof 1,70191
