Giessen U,Justus-Liebig-Universität Gießen,25461,1607,http://www.uni-giessen.de
Göttingen PFH,PFH - Private Hochschule Göttingen,4775,1995,www.pfh.de
Göttingen U,Georg-August-Universität Göttingen,27562,1737,http://www.uni-goettingen.de
Greifswald U,Universität Greifswald,10296,1456,http://www.uni-greifswald.de
Hachenburg HBundesbank (Verw),Hochschule der Deutschen Bundesbank,408,1980,http://www.hochschule-bundesbank.de
Hagen FernU,FernUniversität in Hagen,63326,1974,https://www.fernuni-hagen.de
Halle HfKiM,Evangelische Hochschule für Kirchenmusik,59,1926,http://www.ehk-halle.de
Halle KuH,Burg Giebichenstein Kunsthochschule Halle,1194,1915,http://www.burg-halle.de
Halle-Wittenberg U,Martin-Luther-Universität Halle-Wittenberg,19227,1502,www.uni-halle.de
Hamburg AkFinanz (Verw),Norddeutsche Akademie für Finanzen und Steuerrecht,349,2010,https://www.hamburg.de/fb/norddeutsche-akademie-fuer-finanzen-und-steuerrecht-hamburg/
Hamburg AkPol (Verw),Akademie der Polizei Hamburg,582,2013,https://akademie-der-polizei.hamburg.de/fachhochschulbereich
Hamburg BHH,Berufliche Hochschule Hamburg (BHH),219,2020,https://bhh.hamburg.de/
Hamburg BLS,"Bucerius Law School, Hochschule für Rechtswissenschaft",849,2000,https://www.law-school.de
Hamburg EFH,Europäische Fernhochschule Hamburg,9646,2003,http://www.euro-fh.de
Hamburg EvH,Evangelische Hochschule für Soziale Arbeit & Diakonie,731,1971,http://www.ev-hochschule-hh.de
Hamburg FernH,"Hamburger Fern-Hochschule, gemeinnützige GmbH",14144,1997,https://www.hfh-fernstudium.de
Hamburg FHBrand,Brand University of Applied Sciences,314,2010,https://www.brand-university.de/
Hamburg HAW,Hochschule für Angewandte Wissenschaften Hamburg,16877,1970,https://www.haw-hamburg.de
Hamburg HCU,HafenCity Universität Hamburg,2518,2006,http://www.hcu-hamburg.de
Hamburg HfBK,Hochschule für Bildende Künste Hamburg,976,1767,http://www.hfbk-hamburg.de
Hamburg HfM,Hochschule für Musik und Theater Hamburg,1380,1950,http://www.hfmt-hamburg.de
Hamburg HSBA,HSBA Hamburg School of Business Administration,928,2004,http://www.hsba.de
Hamburg KLU,Kühne Logistics University - Wissenschaftliche Hochschule für Logistik und Unternehmensführung,309,2010,www.klu.org
Hamburg MSH,MSH Medical School Hamburg - University of Applied Sciences and Medical University,4845,2009,http://www.medicalschool-hamburg.de
Hamburg NBS,NBS Northern Business School – University of Applied Sciences,914,2007,http://www.nbs.de
Hamburg TU,Technische Universität Hamburg,7384,1978,http://www.tuhh.de/
Hamburg U,Universität Hamburg,41802,1919,http://www.uni-hamburg.de
Hamburg UBw,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,2546,1972,http://www.hsu-hh.de
Hamm-Lippstadt H,Hochschule Hamm-Lippstadt,5134,2009,http://www.hshl.de
Hannover FHDW,Fachhochschule für die Wirtschaft Hannover,569,1996,http://www.fhdw-hannover.de/
Hannover H,Hochschule Hannover,8891,1971,https://www.hs-hannover.de
Hannover HfMTM,"Hochschule für Musik, Theater und Medien Hannover",1395,1897,http://www.hmtm-hannover.de
